"Percentage of COPD, emphysema, or chronic bronchitis for adults aged 18 and over (95% confidence intervals), United States, 2019—2022"
"Year","Male","Female"
" 2019"," 4.1"," 5.1"
" 2020"," 4.3"," 5.6"
" 2021"," 4.0"," 5.3"
" 2022"," 4.1"," 5.0"

"Standard errors for percentage of COPD, emphysema, or chronic bronchitis for adults aged 18 and over (95% confidence intervals), United States, 2019—2022"
"Year","Male","Female"
" 2019"," 3.7, 4.4"," 4.7, 5.5"
" 2020"," 3.9, 4.8"," 5.2, 6.1"
" 2021"," 3.6, 4.3"," 4.9, 5.6"
" 2022"," 3.7, 4.5"," 4.6, 5.5"

"Source: National Center for Health Statistics, National Health Interview Survey"
